FOSSIL ID,DATE,INQUIRY ID,AMNH ID,FOSSIL?,INQUIRY EMAIL,AMNH RESPONSE EMAIL
1,1 Jul 2015,Shark tooth,Pleistocene Carcharodon carcharias,Y,"From: Tom
Sent: Wednesday, July 01, 2015 9:54 AM
To: Alisa
Subject: Shark tooth ?
Hi my name is tommy hickey I just  called regarding a tooth that I found in the ocean on breezy pointy yesterday . We were wondering if this is actually a shark tooth and any other information you may be able to give us in this. If it would help out I can bring it by the aquarium to be looked at. Thank you again for your help.
The Hickey family

From: Tom Sent: Wednesday, July 01, 2015 3:38 PM To: Alisa Cc: Carl Mehling Subject: Re: Shark tooth ?
Hi Alisa,
Thank you so much for your help with his. One of my kids just got home from soccer camp and I wanted to wait for him to get home to share it with the entire family. They are so excited that we actually found a shark tooth.  Shark week is one of their favorite weeks. The older boys are obsessed with them. My 8 year old is going around telling everyone he is a marine biologist and that's what he wants to be when he grows up. 
Yesterday June 30, 2015 at about 3:30 in the afterNoon I was waking around the shore line of the ocean in  breezy point looking for sea glass with 3 of my kids when I saw that and thought or sasses glass I picked it up and realized it was not. The more I looked at it the more I thought it was a tooth. After showing some of the people on the beach they convinced me it was a shark tooth. THats when the kids wanted to know what kind of tooth. So we called the Brooklyn aquarium this morning. 
If there is anymore information you would like I would love to give it as we are so excited hat we actually found something. 
Here is my contact information. 
","From: Carl Mehling  Sent: Wednesday, July 01, 2015 12:02 PM To: 'Hans' Cc: Alisa Subject: RE: Shark tooth ?
Jesus that's absurdly cool, Hans. A tooth like that would be a huge score in places where they are well-known. But I know of no record of any fossil shark tooth from NY and certainly not NYC! Truly special. Yes, I think it is probably Carcharodon carcharias and relatively young as fossils go. Probably Pleistocene. But, of course, there is a chance that it was lost by someone who purchased it or found it at a more likely spot down the east coast – no easy way to tell.  But it would  not be unexpected for the fauna and preservation type found in the Rockaways. Either way, I am SOOO jealous! Or…. It could just be a story, but again, we’ll never really know.
I actually collect references to NYC fossils – is there any way I could impose on you to get as much collecting data as possible from the Hickey’s (date, location, circumstances of collection, etc.)? You don’t think they’d consider donating it, do you?
Look at the attached image of another surprise I found on New Year’s Day on Rockaway! Thanks and I so look forward to hanging again!
-Carl  

From: Carl Mehling  Sent: Wednesday, July 01, 2015 12:37 PM To: 'Alisa'; Hans Subject: RE: Shark tooth ?
Thanks, Harley. I’m perfectly happy not making more work for you guys so I’ll take it one from here.
Thanks so much for looping me in!
Best, Carl 

From: Carl Mehling  Sent: Wednesday, July 01, 2015 1:30 PM To: Tom Subject: RE: Shark tooth ?
Hi Tom,
Thanks for showing us all your find. A tooth like that would be a very nice find in places where they are well-known. But I know of no record of any fossil shark tooth from NY and certainly not NYC. It's special merely for that reason. There is a chance that it was lost by someone who purchased it or found it at a more likely spot down the east coast – no easy way to tell.  But it would not be unexpected for the fauna and preservation type found in the Rockaways. 
I actually collect references to NYC fossils – could you give me a little more info on the exact location, circumstances of collection (was it below the high tide mark, for example), etc.? Might you consider donating it to our collections here?
Best regards,
Carl

From: Carl Mehling  Sent: Wednesday, July 01, 2015 12:39 PM To: 'Alisa'; 'Hans' Subject: RE: Shark tooth ?
I just re-read what you said: should I contact them directly or did you want to give them my email?  

From: Carl Mehling  Sent: Wednesday, July 01, 2015 1:09 PM To: 'Alisa' Subject: RE: Shark tooth ?
Perfect! Thanks.  

From: Carl Mehling  Sent: Wednesday, July 01, 2015 4:58 PM To: 'Hans' Subject: RE: Shark tooth ?
So cool… I did get in touch with the tooth finder. And yeah, I too, don’t see any real reason to be suspicious of their story.
Let the hanging begin! And we gotta get ya’ll out collecting in NJ! Just a brain fart kind of idea: what about this Saturday for fossils?

From: Carl Mehling  Sent: Monday, July 06, 2015 5:01 PM To: 'Tom'; Alisa Subject: RE: Shark tooth ?
Hi Tommy,
You might have missed it in my earlier email but thanks so much for sharing your find with us all. What fun! And thanks for all the contextual collecting information. A tooth like that would be a very nice find in places where they are well-known. But I know of no record of any fossil shark tooth from NY and certainly not NYC. It's special merely for that reason. There is a chance that it was lost by someone who purchased it or found it at a more likely spot down the east coast – no easy way to tell.  But it would  not be unexpected for the fauna and preservation type found in the Rockaways. Maybe it's some sort of Sandy silver lining?
I wanted to see if you might consider donating it to our collections here? I know that's a lot to ask since you only just found it, but in trade I'd like to offer you all a private trip to a fossil site I work in NJ where you are basically guaranteed a bunch of fossil shark teeth. They will be smaller but much older ones (72 million years old as opposed to 10 thousand) and will likely include a shark many consider to be an ancestor of Carcharocles megalodon called Cretalamna appendiculata. And contrary to what Shark Week may insist, I sense that most paleontologists no longer consider Carcharocles as closely related to Carcharodon. But it looks like Shark Week may actually be a bit better this year: http://www.vox.com/2015/7/6/8886743/shark-week-2015-science. 
Please let me know what you think and be well.
Best regards,
Carl

From: Alisa
Sent: Wednesday, July 1, 2015 10:00 AM
To: Hans
Subject: FW: Shark tooth ?
Hello shark tooth expert.
Any ideas for the Family - yes I picked up a transfer but this was a nice one for a change.
Harley

From: Hans Sent: Wednesday, July 01, 2015 11:16 AM To: Carl Mehling Cc: Alisa Subject: Fw: Shark tooth ?
Hey Carl!
Got your email last week.  Martha and I were away for a week for a family wedding and then returned to an extremely busy Aquarium.  Will work with Martha to arrange a play date for all of us.  Meanwhile, our vet Harley received the email below from some folks in Breezy Point (the Rockaways near where M & I live) who apparently found the shark tooth in the attached pictures on the beach.  Looks like a Carcharodon or Carcharocles of some spp or the other, but figured you could do much much better. 
Know these things are fairly common, and that you find lotsa stuff in NJ.  Is Breezy Point worth exploring (or are you familiar with the Rockaways as a good shark tooth spot)?
Hans

From: Alisa Sent: Wednesday, July 01, 2015 12:24 PM To: Carl Mehling; Hans Subject: RE: Shark tooth ?
Thank you so much.  The photo and email are actually the result of a ‘cold call’ that got transferred to me at the Aquarium this morning.  I just happened to answer and then asked Tom to take some photos and email them to me so I could pass them to Hans.  Had no idea this would be so interesting – and yes, I agree, it’s hard to know the real story but it seemed genuine enough.  I just have the email address below for the family and what he told me on the phone about finding it at Breezy Point.  
Would you want me to simply pose the questions below to him or could I pass along some sort of contact information for you as well in case they are interested in donating?  I’m fine with either.
Thank you again,
Harley


From: Alisa Sent: Wednesday, July 01, 2015 12:46 PM To: Carl Mehling; Hans Subject: RE: Shark tooth ?
How about I introduce you to them on email – and send a little bit about what you sent Hans and I about the tooth and your questions?
Hopefully they will answer your questions.
H

From: Alisa Sent: Wednesday, July 01, 2015 1:00 PM To: Tom Cc: Carl Mehling Subject: RE: Shark tooth ?
Dear Tom and Family,
I wanted to let you know that we were able to forward your photos of the tooth you found to a paleontologist at the American Museum of Natural History, Carl Mehling. He believes this is a probably the fossilized tooth from a Great White Shark (Carcharodon carcharias), possibly from the Pleistocene era.   I have copied Carl on this email because he thinks this tooth is a pretty amazing find.  He also collects references to New York City fossils - and was wondering if you would be willing to share some more information about where, when and how you found this tooth?  I had the little information you had shared with me below, but thought you might be willing to maybe tell him more about how/where you found it?
Congratulations on a pretty incredible find.  
All the best,
Alisa

From: Hans Sent: Wednesday, July 01, 2015 4:50 PM To: Carl Mehling Cc: Alisa Subject: Re: Shark tooth ?
Hey Carl.  Yes Harley and I thought that tooth was absurdly cool too, and I was surprised at the location where it was found.  We discussed the possibility that was found or purchased elsewhere, and either someone dropped it on the beach or the story of its discovery was fabricated; but this is a family with 6 little kids, so the fabrication idea is unlikely.  
I know The New York Bight is an area where Carcharodon carcharias is found in all age classes and both genders, so the ID and location shouldn't surprise me.
I am sure these people would love to hear from you.  Meanwhile, Martha and I want to hang--as do a number of other people at the Aquarium after hearing about my ultra cool bud at the AMNH (Kayla still gushes when she talks about the incredible day she had in your digs).
Hans "
2,2 Jul 2015,Presumably fossil,Foraminiferal limestone,Y,"From: Louis Sent: Thursday, July 02, 2015 7:34 PM To: Carl Mehling Subject: Possibly from around Alenxandria, Egypt.

From: Louis Sent: Monday, July 06, 2015 10:31 AM  Subject: RE: Possibly from around Alenxandria, Egypt.
Hi Carl, as a matter of it is brought here in ca. 1880.  

From: Louis Sent: Monday, July 06, 2015 11:21 AM  Subject: Re: Possibly from around Alenxandria, Egypt.
Yes 

","From: Carl Mehling  Sent: Monday, July 06, 2015 10:26 AM To: 'Louis' Subject: RE: Possibly from around Alenxandria, Egypt.
Hi Louis,
Thanks for your email. What you have there is a foraminiferal limestone. Foraminifera (or just forams) are amoeboid protists that have a shell. They have been on Earth for over 500 million years. I know that there are Eocene limestones in Egypt famous for their forams but there seems to be no way to confirm yours. Is this built into something in the park? Best, Carl

From: Carl Mehling  Sent: Monday, July 06, 2015 11:19 AM To: 'Louis' Subject: RE: Possibly from around Alenxandria, Egypt.
Do you mean it is in the park?

From: Carl Mehling  Sent: Monday, July 06, 2015 11:31 AM To: 'Louis' Subject: RE: Possibly from around Alenxandria, Egypt.
Very nice!"
3,2 Jul 2015,Maybe T. rex bone,Fossil bone chunk,Y,"From: Kevin Sent: Thursday, July 02, 2015 8:00 PM  Subject: Re: Dinosaur Fossil ID
Hello, Carl --
Online at the American Museum of Natural History website, I found an invitation to submit a fossil specimen for possible identification, and I have a good one for you! (Please see attached photos.)
This fossil was purchased by me at a recent yard sale in Southern California; however, the previous owner claimed he personally collected it in Montana back in the 1950s. The piece measures approximately 10"" x 8"" x 6"", and weighs about 15 lbs. 
My brother is a geologist, and he confirmed that it’s definitely fossilized bone, and from the size and shape, probably dinosaur. Also, he said the piece might possibly be more than one bone fused together.
If possible, I'd love to know the species of dinosaur and what part of the skeleton this is from. Maybe T-Rex? (One can dream, eh?)
Many thanks in advance for your time and attention!
Best,
Kevin

Id Requested! Dinosaur Fossil? T-Rex?
Kiev Posted 02 July 2015 - 02:55 PM
Hello -- this is my first post, so many thanks in advance for your time and expertise!
I recently purchased a dinosaur fossil at yard-sale, and the previous owner said it was personally collected by him in Montana back in the 1950s; that’s about all I know about where this piece comes from. The piece measures approximately 10"" x 8"" x 6"", and weighs about 15 lbs. 
Unfortunately, I don't know any paleontologists; but, I did show it to a geologist who confirmed that it’s definitely fossilized bone, and from the size and shape, probably dino. Also, he said the piece might possibly be more than one bone fused together.
So, my questions for you are: from what dinosaur species; and which part of the skeleton? Personally, I'm thinking T-Rex . . . !
Cheers!
Kiev PS -- Please let me know if you would like to see any particular detail of this piece, and I will upload more pix!
Attached Thumbnails

Kiev Posted 02 July 2015 - 07:49 PM
Anyone?

Troodon Posted 02 July 2015 - 07:54 PM
Welcome to the forum. Boy I'm having trouble getting a handle on your bone. There is nothing diagnostic about it other than its big and bulky. T-rex bones would not be this massive. Do you know anything more about where it was found other than Montana? 

Kiev Posted 02 July 2015 - 08:13 PM
Hi, Troodon! Thanks for chiming in. I've shared everything I know (which isn't much) about this specimen in my initial post, so that's it.  My best guess is that it's a partial fragment -- maybe some kind of blade-shaped bone? I should probably upload more pix to show the curvilinear quality of its shape . . . I'm surprised to read that it might be too big to be T-Rex! Really? Maybe brontosaurus, then? Also, I think we should consider the area of origin suspect; It might not be from Montana at all -- that's just what the old man who sold it to me claimed. Meanwhile, we're both stumped, I guess!
KJK

Troodon Posted 02 July 2015 - 08:27 PM
It's probably a partial of a leg bone. One option could be from a Ceratopsian if its from Montana. Maybe the images can ring a bell with others. 

Kiev Posted 02 July 2015 - 08:38 PM
Okay, here are some additional pix . . .
Attached Thumbnails

ZiggieCie Posted 02 July 2015 - 08:39 PM
Welcome to the Forum Kiev.               

Kiev Posted 02 July 2015 - 08:41 PM
Thanks, ZiggieCie!

Auspex Posted 02 July 2015 - 08:43 PM
I wouldn't be too big for a T.rex, just too dense. Theropods were lightly built, with highly pneumaticized skeletons; light and quick, like a bird.

Kiev Posted 02 July 2015 - 08:46 PM
Auspex: Aha! Now that makes sense -- thanks! So, we must deduce that it belongs to something large and slow . . . ?

jpc
Interesting bone. I am also stumped. The preservation is not typical of the Hell Creek Fm, so it may not be dinosaur. Some of the pix look like titanothere atlas (neck bone)... But that is just a guess. 

ZiggieCie
jpc, on 07 Jul 2015 - 5:05 PM, said:
Interesting bone. I am also stumped. The preservation is not typical of the Hell Creek Fm, so it may not be dinosaur. Some of the pix look like titanothere atlas (neck bone)... But that is just a guess.
Now that guy would of made a good pot of soup.        
Sorry, dinner time.
","From: Carl Mehling  Sent: Monday, July 06, 2015 10:37 AM To: 'Kevin' Subject: RE: Dinosaur Fossil ID
Hi Kevin,
Thanks for your email. It looks like the folks on the Fossil Forum beat me to this one! I will have to agree with them that T. rex is very unlikely and that it could be almost anything with the information you were provided. It lacks anatomical details that would help us zero in on an ID. I wish there were more we could say here.
Best, Carl"
4,3 Jul 2015,Fossil?,Probably mineral,N,"From: WILLIAM Sent: Friday, July 03, 2015 11:03 AM To: Carl Mehling Subject: Fossil?

Mr. Mehling,
We took the grandkids fossil hunting at Rockport State Park in Alpena, Michigan last week.  It is a former limestone quarry on the edge of Lake Huron, that is now a State Park.  Anyway, I don't know anything about fossils but we did talk to a few people and learned a few thing.  None were able to identify the item in the pictures.  Can you help?  Item is about 1"" across and 3/8"" in width.
Thanks in advance,
Bill

From: WILLIAM  Sent: Monday, July 06, 2015 12:42 PM  Subject: Re: Fossil?
Mr. Mehling
Tried my best if these are still not clear enough I'll try and borrow a better camera...

From: WILLIAM  Sent: Wednesday, July 15, 2015 4:54 PM  Subject: Fossil?
Mr. Mehling, 
I sent you some pictures a couple of weeks ago, and you requested clearer. more in focus, pics.  Will these be okay to possibly identify what we've found?  It was the best I could do...
Thanks,
Bill

From: WILLIAM  Sent: Tuesday, August 18, 2015 5:01 PM  Subject: Re: Mystery Object
Mr. Mehling, 
No apologizies are necessary!!  I appreciate the reply.  The grandkids think gramps is going nutty, sending the ""mystery object"" to you, but are getting a kick out of how all of this is transpiring.  They really think it's neat and have been asking me if I ever received a reply, now they know you are real :-)
Bill

From: WILLIAM  Sent: Thursday, August 20, 2015 12:59 AM To: Carl Mehling Subject: Re: Mystery Object
Carl, 
Thanks for all of your efforts!  The grandkids all had different opinions on what this was from an animal part, tooth, bone, or a shark tooth to a plant stalk or tree branch of some kind.  They looked at the whiteish area and the ""darker"" core (resin) to come to this conclusion.  We also had a difficult time trying to figure out what type of rock this was...???  It did have a small inclusion on the opposite side that I was able to slip a small screwdriver into and the rock split when tapped lightly with a hammer, only it didn't split along the ""unknown material""  No matter it was fun and kept the vacation alive for most of the summer!
Bill","From: Carl Mehling  Sent: Monday, July 06, 2015 11:02 AM To: 'WILLIAM' Subject: RE: Fossil?
Hi Bill,
Thanks for your email. Unfortunately, the photos you sent are too dim and blurry to make out what you’ve found. Is there any way you could reshoot them sharp and in sunlight?
Thanks,
Carl

From: Carl Mehling  Sent: Monday, July 20, 2015 2:45 PM To: 'WILLIAM' Subject: RE: Fossil?
Hi Bill,
Thanks – these are much better. From what I can see it doesn’t look like any fossil of which I can think. It appears to be a cavity in the host rock that has partially filled with some light, maybe chalky mineral. It’s lacking the details I would want to see to confidently identify it as a fossil. Sorry I can’t be more specific but I can say it is a very cool find!
Best, Carl 

[Package received around 3 August 2015]

From: Carl Mehling  Sent: Tuesday, August 18, 2015 10:37 AM To: 'WILLIAM' Subject: Mystery Object
Hi Bill,
Thanks for your package and your patience while I was away – it came right before I left for a week and a half! Your find is very cool. I still think it isn’t a fossil but what it actually is appears to be out of my expertise. Before sending it back to you, I will take it over to my counterpart in Earth and Planetary Sciences and see if she can enlighten us. Stay tuned.
Best, Carl 

From: Carl Mehling  Sent: Wednesday, August 19, 2015 10:55 AM To: 'WILLIAM' Subject: RE: Mystery Object
Hi Bill,
Gramps is certainly not going nutty, unless nutty = curious. 
So I showed it to my mineralogical colleague and she also had no good explanation for it. It could’ve been a pocket in the rock that filled with the lighter material. Or the lighter inclusion might have existed as a rock prior to being enveloped by the grey material. I think we’ll (sadly) have to leave it as a geological oddity for now!
Best, Carl

From: Carl Mehling  Sent: Thursday, August 20, 2015 10:45 AM To: 'WILLIAM' Subject: RE: Mystery Object
My pleasure, Bill. Maybe one of the grandkids will become a mineralogist or sedimentologist ion the future and figure this one out! -Carl"
5,3 Jul 2015,Fossils,Fossils,Y,"From: TAHRI Sent: Friday, July 03, 2015 8:42 PM  Subject: Fossil ID request!!!!
Hello;
I just found the following fossils which I need to identify them:
(First, these fossils have been found in different locations in Algeria.)
1) Fossils (Bivalvia) found in Kolea, distance approximately 8 km from the sea (size of 3 to 11 cm):

2) Fossils (Echinodermata) found in Khemisti, wilaya of Tissemsilt (size of 3 to 4 cm):

3) Fossils found in Ouanougha, wilaya of M'sila (size of 2 to 4 cm):

4) Fossils (The Cenomanian and Turonian) (genus:Terebratula!!!) found in Tamedda, wilaya of Laghouat (size of 0.5 to 4 cm):  
I would be very grateful to help me to identify these fossils (at least their families and why not their genus)
Cordially.","From: Carl Mehling  Sent: Monday, July 06, 2015 11:28 AM To: 'TAHRI' Subject: RE: Fossil ID request!!!!
Hi Tahri,
Thanks for your email. You have some beautiful fossils there. Unfortunately, we don’t have anyone here that can provide better IDs than you already have: our current curators specialize in different groups. I know I’ve seen the fossils you have numbered “3” but, sadly, I can’t recall what they are! But the last 4 you have under Terebratula are an oyster and 3 snails, but I suspect you already knew that. You should try posting this to the Fossil Forum online and see what they say. The Forum is a huge community of very adept professionals and amateurs so you can have many more eyes look at it. I’m curious to see what they say! 
Best, Carl"
6,4 Jul 2015,Presumably fossil,Probable Favosites and a rock,Y,"From: Mike Sent: Saturday, July 04, 2015 1:32 PM  Subject: Conesus lake
Carl 
Found by my grandson along the glacial lake of Conesus in upstate BY.  We must know what these are.  Thanks for doing this!
Mike

From: Mike  Sent: Monday, July 06, 2015 12:01 PM To: Carl Mehling Subject: Re: Conesus lake
Hope this works!

From: Mike Sent: Monday, July 06, 2015 7:47 PM  Subject: Re: Conesus lake
Carl,  Thanks, try 3 with the pictures.
Mike
[Same photos were included]

From: Mike  Sent: Tuesday, July 07, 2015 11:54 AM  Subject: Re: Conesus lake
Carl
Thank you!  I will work on my photography skills.  I don't think you've heard the ast from my grandson. 😊
Mike","From: Carl Mehling  Sent: Monday, July 06, 2015 11:30 AM To: Mike Subject: RE: Conesus lake
Hi Mike,
Thanks for your email. Unfortunately, no images were included in the email. Can you resend them? Thanks, Carl

From: Carl Mehling  Sent: Tuesday, July 07, 2015 11:27 AM To: Mike Subject: RE: Conesus lake
Thanks, Mike. 
The photos are a bit dark and blurry but I’m pretty sure I see a fossil coral in that first photo. It might be a coral called Favosites or something similar. Have a look online for other photos to compare. Unfortunately, I don’t see anything in the second specimen to suggest a fossil – I think it is just a rock.
Best, Carl

From: Carl Mehling  Sent: Tuesday, July 07, 2015 12:59 PM To: Mike Subject: RE: Conesus lake
Sounds good to me!"
7,5 Jul 2015,Fossil rib with human workmanship,Probable fossil bone with possible much-later human workmanship,Y,"From: David
To: isap
Sent: Sun, Jul 5, 2015 2:04 pm
Subject: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Dear Dr.,
In the early 2000's, we vacationed at Kure Beach, NC, on the Outer Banks of North Carolina.
During one trip, I found several fossilized bones in the tidal pools north of the Fort Fisher beaches. The fort sand ramparts were partially preserved and a cove-like beach southeast of these ramparts,with tidal pools,  collects heavier objects.
The object that I found appears to be a fossilized rib , that has signs of human workmanship, at both ends of the rib. Alternate edges of the rib had been sharpened, and one end has been more worn down by some unknown process.
I have attached several photos, for your review.
Please help me identify and age this tool.
I can be reached at either phone number if you have any detailed questions...
I appreciate your help...
David

From: David
Sent: Thursday, July 16, 2015 10:43 AM
To: Anibal
Cc: Lorann
Subject: Fwd: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Anibal,
Here is the info that might help you identify this object.
I appreciate your help...
David

From: David  Sent: Tuesday, July 21, 2015 5:18 PM To: Carl Mehling Cc: Anibal Subject: Re: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Carl and Anibal,
I appreciate your time and help in this matter.
Do you know of any online database of paleo tool  photos with descriptions available to the public?
Dave
","From: Carl Mehling  Sent: Monday, July 20, 2015 3:57 PM To: Anibal Subject: RE: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Thanks, Boss!

From: Carl Mehling  Sent: Tuesday, July 21, 2015 2:58 PM To: Anibal Cc: Lorann; David Subject: RE: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Those don't look like cut-marks on the end to you?

From: Carl Mehling  Sent: Tuesday, July 21, 2015 3:23 PM To: 'David' Subject: RE: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Hi David,
You inquiry was forwarded to me. I have to agree that it's probably a fossil bone, but of what is hard to say. My gut says whale because they are large and commonly found as fossils along those beaches. I think it is at least safe to say it's a large mammal. But I say 'probably fossil' because I have found a good many bones along our beaches up here that are that color and are clearly modern. If this is modern, the cut marks would easily be described as marks from a butcher's saw. If you tap it with metal or ceramic and it makes a 'clink' rather than a 'click' it is more likely to be a fossil. If it is a fossil the cut marks would not be butcher marks because the fossil vertebrates found there predate people by a long shot. The marks would then be tooling by people of almost any time period on a long-ago mineralize bone for some likely-unknowable purpose. Sorry I can't be of more help.
Best,
Carl

From: Carl Mehling  Sent: Tuesday, July 21, 2015 3:55 PM To: Anibal Subject: RE: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Understood. Here's what I told him: 'I have to agree that it's probably a fossil bone, but of what is hard to say. My gut says whale because they are large and commonly found as fossils along those beaches. I think it is at least safe to say it's a large mammal. But I say 'probably fossil' because I have found a good many bones along our beaches up here that are that color and are clearly modern. If this is modern, the cut marks would easily be described as marks from a butcher's saw. If you tap it with metal or ceramic and it makes a 'clink' rather than a 'click' it is more likely to be a fossil. If it is a fossil the cut marks would not be butcher marks because the fossil vertebrates found there predate people by a long shot. The marks would then be tooling by people of almost any time period on a long-ago mineralize bone for some likely-unknowable purpose.'

From: Carl Mehling  Sent: Tuesday, July 21, 2015 4:14 PM To: Anibal Subject: RE: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
OUTSTANDING!!!!!

From: Carl Mehling  Sent: Thursday, July 23, 2015 3:12 PM To: 'David' Cc: Anibal Subject: RE: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Hi Dave,
I seriously doubt there is such a thing. There is just so much variation and subtlety that it would be phenomenally complex to create something like that. However, I can think of one book that might be somewhat helpful: What Your Fossils Can Tell You: Vertebrate Morphology, Pathology, and Cultural Modification by Robert. W. Sinibaldi.
Best, Carl

From: Anibal  Sent: Thursday, July 16, 2015 3:06 PM  Subject: FW: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Hi Carl,
I think this is in your neck of the woods.
Best,
Anibal

From: Anibal  Sent: Monday, July 20, 2015 4:04 PM To: Carl Mehling Cc: Lorann; David Subject: Re: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Thank you Carl, I had a chat with this gentleman and he's very excited about his finds which include a hadrosaur which he will tell you all about. I thought this would be a cultural object but I've determine to the degree I can and based on the information he provided that it's paleontological in nature. 
Best
Anibal 

From: Anibal 
Sent: Tuesday, July 21, 2015 3:50 PM
To: Carl Mehling
Cc: Lorann; David
Subject: Re: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Sure do, but I'll be dame if I know how they got there from that photo. I need to examine the piece. It does look worked but I wanted your input. 
What's your take? Whale ? Age?
Anibal 

From: Anibal 
Sent: Tuesday, July 21, 2015 4:01 PM
To: Carl Mehling
Cc: Lorann; David
Subject: Re: Fossilized Rib Bone Worked into Mystery Tool - Help Identifying
Carl,
That is precisely what I told him on the phone, almost the word.
Thanks 
Anibal"
8,6 Jul 2015,Fossil,Trimerus cephalon,Y,"From: Lisa  Sent: Monday, July 06, 2015 4:41 PM  Subject: Attn: Carl Mehling
Could you please identify the fossil below.
I found it in the Bushkill area of Pennsylvania.
The attachment is both halves of a ""rock""
Thank you.
Lisa Caporaso

From: Lisa  Sent: Tuesday, July 07, 2015 12:20 PM  Subject: Re: Attn: Carl Mehling
Thank you so much for your quick response.
Lisa","From: Carl Mehling  Sent: Tuesday, July 07, 2015 11:40 AM To: 'Lisa' Subject: RE: Attn: Carl Mehling
Hi Lisa,
Thanks for your email. And congratulations on a great find! It’s the cepahlon (“head”) of a trilobite called Trimerus (or Dipleura in the older literature) and is Middle Devonian (~387 million years old) in age if I have the local rock formation (the Mahantango Formation) right in my head. Well done!
Best, Carl

From: Carl Mehling  Sent: Tuesday, July 07, 2015 1:00 PM To: 'Lisa' Subject: RE: Attn: Carl Mehling
My pleasure!"
9,6 Jul 2015,I guess ‘fossil’,Rocks,N,"From: Brooke Sent: Monday, July 06, 2015 9:53 PM To: Carl Mehling Subject: Re: this can't be JUST a piece of glacial rock???? 
Carl, 
Pardon my interruption. We have spoken via email briefly and since I still believe the glacial ROCKS that were blasted loose about 8 YRS ago are showing their innards in a big way. The water has seeped within the 50 foot cliffs near my house and has started to expose the innards of stuff "" caught"" in the detriment etc that came to rest in the swampy woods behind my house!
If U have a moment to stare at these for a moment, one is upside down on his large head or are a slew of us seeing things?
regards,
BROOKE","From: Carl Mehling  Sent: Tuesday, July 07, 2015 12:58 PM To: 'Brooke' Subject: RE: this can't be JUST a piece of glacial rock???? 
Hi Brooke,
Thanks for your email. Unfortunately, again I see nothing to indicate fossils of any kind here. To my eye these rocks look metamorphic in nature, which is consistent with NH and very inconsistent with fossils. You should try to get a copy of Roadside Geology of Vermont and New Hampshire (Roadside Geology Series) by Bradford B. Van Diver. It will certainly do a better job of explaining your local geology than I can hope to do. 
Best, Carl

[See also 22 Dec 2013]"
10,7 Jul 2015,Fossil,Rock,N,"From: Andy Sent: Tuesday, July 07, 2015 9:08 PM  Subject: Fossil?
Hi Carl,
I was hoping you could identify this (fossil?) I found on an island beach in Washington State. If you need specific info or better photos please let me know.
Thanks
Andy

","[Photos adjusted by me:]

From: Carl Mehling  Sent: Wednesday, July 08, 2015 10:27 AM To: 'Andy' Subject: RE: Fossil?
Hi Andy,
Thanks for your email. Unfortunately, I don’t think it’s a fossil: it’s lacking the finer detail that would lead me to ID is as such. Believe it or not it is more likely to be an anomalously fractured rock.
Best, Carl"
